name,category,occasion,relationship,interests,personality,price,description
Watercolor Starter Kit - Edition 1,Art,Anniversary,Best Friend,art painting drawing creativity,"Romantic, Stylish",800,"Watercolor Starter Kit - Edition 1, curated for art lovers and suitable for anniversary gifting."
Watercolor Starter Kit - Edition 2,Art,Valentines Day,Friend,art painting drawing creativity,"Practical, Minimalist",960,"Watercolor Starter Kit - Edition 2, curated for art lovers and suitable for valentines day gifting."
Watercolor Starter Kit - Edition 3,Art,Graduation,Sibling,art painting drawing creativity,"Adventurous, Extroverted",1120,"Watercolor Starter Kit - Edition 3, curated for art lovers and suitable for graduation gifting."
Watercolor Starter Kit - Edition 4,Art,Housewarming,Parent,art painting drawing creativity,"Introverted, Intellectual",1280,"Watercolor Starter Kit - Edition 4, curated for art lovers and suitable for housewarming gifting."
Watercolor Starter Kit - Edition 5,Art,Farewell,Family,art painting drawing creativity,"Funny, Trendy",1440,"Watercolor Starter Kit - Edition 5, curated for art lovers and suitable for farewell gifting."
Watercolor Starter Kit - Edition 6,Art,Christmas,Colleague,art painting drawing creativity,"Techie, Practical",1600,"Watercolor Starter Kit - Edition 6, curated for art lovers and suitable for christmas gifting."
Watercolor Starter Kit - Edition 7,Art,Friendship Day,Classmate,art painting drawing creativity,"Classic, Sentimental",1760,"Watercolor Starter Kit - Edition 7, curated for art lovers and suitable for friendship day gifting."
Acrylic Painting Set - Edition 1,Art,Valentines Day,Sibling,art painting drawing creativity,"Practical, Minimalist",800,"Acrylic Painting Set - Edition 1, curated for art lovers and suitable for valentines day gifting."
Acrylic Painting Set - Edition 2,Art,Graduation,Parent,art painting drawing creativity,"Adventurous, Extroverted",960,"Acrylic Painting Set - Edition 2, curated for art lovers and suitable for graduation gifting."
Acrylic Painting Set - Edition 3,Art,Housewarming,Family,art painting drawing creativity,"Introverted, Intellectual",1120,"Acrylic Painting Set - Edition 3, curated for art lovers and suitable for housewarming gifting."
Acrylic Painting Set - Edition 4,Art,Farewell,Colleague,art painting drawing creativity,"Funny, Trendy",1280,"Acrylic Painting Set - Edition 4, curated for art lovers and suitable for farewell gifting."
Acrylic Painting Set - Edition 5,Art,Christmas,Classmate,art painting drawing creativity,"Techie, Practical",1440,"Acrylic Painting Set - Edition 5, curated for art lovers and suitable for christmas gifting."
Acrylic Painting Set - Edition 6,Art,Friendship Day,Mentor,art painting drawing creativity,"Classic, Sentimental",1600,"Acrylic Painting Set - Edition 6, curated for art lovers and suitable for friendship day gifting."
Acrylic Painting Set - Edition 7,Art,Wedding,Partner,art painting drawing creativity,"Creative, Sentimental",1760,"Acrylic Painting Set - Edition 7, curated for art lovers and suitable for wedding gifting."
Canvas Art Print - Edition 1,Art,Graduation,Family,art painting drawing creativity,"Adventurous, Extroverted",800,"Canvas Art Print - Edition 1, curated for art lovers and suitable for graduation gifting."
Canvas Art Print - Edition 2,Art,Housewarming,Colleague,art painting drawing creativity,"Introverted, Intellectual",960,"Canvas Art Print - Edition 2, curated for art lovers and suitable for housewarming gifting."
Canvas Art Print - Edition 3,Art,Farewell,Classmate,art painting drawing creativity,"Funny, Trendy",1120,"Canvas Art Print - Edition 3, curated for art lovers and suitable for farewell gifting."
Canvas Art Print - Edition 4,Art,Christmas,Mentor,art painting drawing creativity,"Techie, Practical",1280,"Canvas Art Print - Edition 4, curated for art lovers and suitable for christmas gifting."
Canvas Art Print - Edition 5,Art,Friendship Day,Partner,art painting drawing creativity,"Classic, Sentimental",1440,"Canvas Art Print - Edition 5, curated for art lovers and suitable for friendship day gifting."
Canvas Art Print - Edition 6,Art,Wedding,Best Friend,art painting drawing creativity,"Creative, Sentimental",1600,"Canvas Art Print - Edition 6, curated for art lovers and suitable for wedding gifting."
Canvas Art Print - Edition 7,Art,Promotion,Friend,art painting drawing creativity,"Romantic, Stylish",1760,"Canvas Art Print - Edition 7, curated for art lovers and suitable for promotion gifting."
Sketching Pencil Set - Edition 1,Art,Housewarming,Classmate,art painting drawing creativity,"Introverted, Intellectual",800,"Sketching Pencil Set - Edition 1, curated for art lovers and suitable for housewarming gifting."
Sketching Pencil Set - Edition 2,Art,Farewell,Mentor,art painting drawing creativity,"Funny, Trendy",960,"Sketching Pencil Set - Edition 2, curated for art lovers and suitable for farewell gifting."
